track_name,artist_name,genre,danceability,energy,loudness,speechiness,acousticness,liveness,valence,tempo,duration_ms,popularity
Light My Fire,The Doors,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'psychedelic rock', 'rock']",0.413,0.725,-5.787,0.0324,0.369,0.0905,0.44,124.618,429760,0
I Feel Love,Donna Summer,"['adult standards', 'disco', 'hi-nrg', 'new wave pop', 'soft rock']",0.643,0.636,-16.089,0.0524,0.0122,0.111,0.958,126.452,201735,0
There Is a Light That Never Goes Out - 2011 Remaster,The Smiths,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",0.523,0.769,-5.855,0.0269,0.04,0.136,0.876,136.162,244587,0
Space Oddity - 2015 Remaster,David Bowie,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']",0.31,0.403,-13.664,0.0326,0.0726,0.139,0.466,134.48,318027,0
Stand by Me,Ben E. King,"['rock-and-roll', 'soul']",0.632,0.232,-12.326,0.0318,0.428,0.215,0.673,119.136,175493,0
Mr. Tambourine Man,The Byrds,"['album rock', 'beatlesque', 'blues rock', 'british blues', 'classic rock', 'cosmic american', 'country rock', 'folk', 'folk rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock']",0.456,0.47,-9.564,0.0294,0.513,0.444,0.639,120.336,149467,0
Bitter Sweet Symphony,The Verve,"['britpop', 'permanent wave', 'rock', 'shoegaze']",0.356,0.917,-6.006,0.0479,0.0335,0.406,0.518,171.176,357267,0
(We're Gonna) Rock Around The Clock,Bill Haley & His Comets,"['rock-and-roll', 'rockabilly']",0.811,0.859,-6.317,0.168,0.205,0.0761,0.784,90.686,129893,0
Layla,Derek & The Dominos,"['album rock', 'blues rock', 'british blues', 'classic rock', 'country rock', 'electric blues', 'folk rock', 'hard rock', 'heartland rock', 'mellow gold', 'psychedelic rock', 'rock', 'singer-songwriter']",0.404,0.902,-3.88,0.0665,0.577,0.287,0.497,115.669,423840,0
River Deep - Mountain High,Ike & Tina Turner,"['classic soul', 'disco', 'rock-and-roll', 'soul', 'southern soul']",0.389,0.745,-6.998,0.0384,0.777,0.143,0.271,83.037,214880,0
Unfinished Sympathy - 2012 Mix/Master,Massive Attack,"['downtempo', 'electronica', 'trip hop']",0.592,0.835,-8.475,0.032,0.0393,0.665,0.703,114.436,308427,0
Loser,Beck,"['latin pop', 'latin viral pop', 'rap latina', 'reggaeton', 'urbano latino']",0.654,0.611,-10.45,0.119,0.0337,0.405,0.786,85.387,235000,0
Fight The Power,Public Enemy,"['conscious hip hop', 'east coast hip hop', 'golden age hip hop', 'hardcore hip hop', 'hip hop', 'old school hip hop', 'political hip hop']",0.797,0.582,-12.97,0.255,0.00484,0.517,0.415,105.974,282640,0
Once in a Lifetime - 2005 Remaster,Talking Heads,"['alternative rock', 'art punk', 'dance rock', 'funk rock', 'new wave', 'permanent wave', 'post-punk', 'rock', 'zolo']",0.644,0.919,-6.289,0.0561,0.181,0.622,0.871,117.459,259907,0
Paranoid Android,Radiohead,"['alternative rock', 'art rock', 'melancholia', 'oxford indie', 'permanent wave', 'rock']",0.251,0.848,-6.501,0.0579,0.0377,0.0545,0.207,163.709,387213,0
Whole Lotta Love - Remaster,Led Zeppelin,"['album rock', 'classic rock', 'hard rock', 'rock']",0.401,0.893,-11.171,0.437,0.0617,0.164,0.406,87.979,334555,0
Alright,Kendrick Lamar,"['conscious hip hop', 'hip hop', 'rap', 'west coast rap']",0.796,0.766,-5.974,0.238,0.0742,0.0827,0.558,110.034,219333,0
House Of The Rising Sun,The Animals,"['album rock', 'british invasion', 'classic rock', 'hard rock', 'protopunk', 'psychedelic rock', 'rock']",0.295,0.584,-6.696,0.0345,0.000385,0.0996,0.228,117.2,271280,0
Walk On the Wild Side,Lou Reed,"['classic rock', 'glam rock', 'permanent wave', 'rock', 'singer-songwriter']",0.575,0.318,-16.729,0.109,0.683,0.0934,0.385,104.522,254173,0
Hotel California - 2013 Remaster,Eagles,"['album rock', 'classic rock', 'heartland rock', 'mellow gold', 'rock', 'soft rock', 'yacht rock']",0.579,0.508,-9.484,0.027,0.00574,0.0575,0.609,147.125,391376,0
99 Problems,JAY-Z,"['east coast hip hop', 'gangster rap', 'hip hop', 'pop rap', 'rap']",0.494,0.887,-4.297,0.398,0.00661,0.103,0.548,89.554,234627,0
Dancing On My Own - Radio Edit,Robyn,"['dance pop', 'electropop', 'neo-synthpop', 'scandipop', 'swedish electropop', 'swedish pop']",0.573,0.926,-6.045,0.0342,0.00202,0.127,0.219,117.047,278080,0
Formation,Beyoncé,"['pop', 'r&b']",0.896,0.621,-6.857,0.237,0.00532,0.196,0.818,121.966,206080,0
Let's Stay Together,Al Green,"['classic soul', 'funk', 'memphis soul', 'soul', 'soul blues', 'southern soul']",0.756,0.401,-10.702,0.0526,0.582,0.0541,0.514,101.954,199396,0
Jumpin' Jack Flash,The Rolling Stones,"['album rock', 'british invasion', 'classic rock', 'rock']",0.595,0.885,-7.688,0.0518,0.0744,0.0844,0.643,137.243,222933,0
All My Friends,LCD Soundsystem,"['alternative dance', 'alternative rock', 'art pop', 'dance rock', 'dance-punk', 'electronic rock', 'electronica', 'indie rock', 'indietronica', 'neo-synthpop', 'new rave']",0.701,0.788,-5.611,0.0425,0.148,0.0977,0.795,142.584,462267,0
California Dreamin',The Mamas & The Papas,"['classic rock', 'folk', 'folk rock', 'mellow gold', 'psychedelic rock', 'rock', 'soft rock', 'sunshine pop']",0.554,0.667,-10.226,0.0342,0.628,0.0486,0.597,112.749,157960,0
Blitzkrieg Bop - 2001 Remaster,Ramones,"['alternative rock', 'early us punk', 'permanent wave', 'punk', 'rock']",0.535,0.784,-5.073,0.0484,0.00557,0.0852,0.962,176.241,132733,0
Dancing In The Street,Martha Reeves & The Vandellas,"['classic girl group', 'classic soul', 'motown', 'soul']",0.556,0.57,-9.472,0.0393,0.0118,0.198,0.304,126.01,165227,0
Hound Dog,Elvis Presley,"['rock-and-roll', 'rockabilly']",0.343,0.884,-4.123,0.128,0.623,0.497,0.94,177.751,133293,0
Oblivion,Grimes,"['art pop', 'canadian electropop', 'grave wave', 'indietronica', 'metropopolis', 'neo-synthpop']",0.697,0.529,-8.838,0.0338,0.115,0.0895,0.486,155.974,251267,0
I Want To Hold Your Hand - Remastered 2015,The Beatles,"['beatlesque', 'british invasion', 'classic rock', 'merseybeat', 'psychedelic rock', 'rock']",0.49,0.715,-5.549,0.0476,0.386,0.311,0.866,130.726,145747,0
All Along the Watchtower,Jimi Hendrix,"['acid rock', 'album rock', 'classic rock', 'hard rock', 'proto-metal', 'psychedelic rock', 'rock']",0.438,0.805,-6.237,0.0624,0.00255,0.0842,0.564,113.253,240800,0
Nothing Compares 2 U,Sinéad O'Connor,"['lilith', 'new romantic', 'new wave pop', 'singer-songwriter']",0.512,0.574,-7.016,0.0273,0.0425,0.105,0.161,119.917,280040,0
How Soon Is Now? - 2011 Remaster,The Smiths,"['madchester', 'new wave', 'permanent wave', 'rock', 'uk post-punk']",0.398,0.93,-6.76,0.0615,0.000854,0.0874,0.725,190.818,408173,0
Sweet Child O' Mine,Guns N' Roses,"['glam metal', 'hard rock', 'rock']",0.446,0.952,-5.321,0.0523,0.0901,0.112,0.624,125.303,356067,0
